Average time per command attempt, from robot's request until repeat, confirmation, or skip
participant_id, robot_01, robot_02, robot_03, robot_04, robot_05, robot_06, robot_07, robot_08, robot_09, robot_10, robot_11, robot_12, robot_13, robot_14, robot_15, monitor_01, monitor_02, monitor_03, monitor_04, monitor_05, monitor_06, monitor_07, monitor_08, monitor_09, monitor_10, monitor_11, monitor_12, monitor_13, monitor_14, monitor_15, oculus_01, oculus_02, oculus_03, oculus_04, oculus_05, oculus_06, oculus_07, oculus_08, oculus_09, oculus_10, oculus_11, oculus_12, oculus_13, oculus_14, oculus_15,
5, 18.764251946, 19.077888964, 18.083765029, 19.728425979, 19.097964048, 18.843626021, 20.623255015, 17.006278038, 14.620796441, 14.537716508, 16.114527583, 17.934972047, 18.525722027, 18.133596182, 19.10932517, 7.368156909, 19.173985004, 14.227095604, 16.587915896, 16.592669963, 17.822577952, 33.091001988, 19.898095846, 18.09086895, 16.684855937, 19.86753583, 17.222275019, 15.998019934, 17.341212034, 17.321943045, 18.42214012, 15.680036545, 17.071564674, 18.997019052, 17.828576087, 21.742815971, 25.361524105, 14.937156439, 15.733302951, 18.750533102, 20.57030487, 17.674378156, 15.415520192, 17.742439032, 19.205909013,
7, 19.512423992, 24.130763053, 15.566502809, 18.205697059, 13.757863044, 17.183814048, 16.73071003, 13.513596057, 19.490702153, 24.292462945, 17.75116833, 20.47092986, 15.437623024, 16.523231029, 18.352417945, 12.775879025, 15.543723662, 18.039993047, 18.683017015, 17.051572561, 20.545058011, 17.404051065, 18.880518913, 21.67904806, 14.260999917, 18.436201095, 18.778744379, 16.090498923, 17.211165188, 16.88709712, 36.019971132, 20.79685092, 16.645937919, 17.474689006, 15.652981043, 14.217040538, 17.659102916, 16.774254082, 16.303924799, 14.253222942, 21.539823054, 17.334189534, 14.47069192, 18.965450049, 23.286761999,
8, 23.853429257, 18.485412359, 19.743371009, 16.068945598, 20.299806594, 14.802944803, 28.248403071, 41.31747508, 26.889796972, 17.787460803, 21.821579932, 21.114143013, 18.310928773, 17.680304051, 16.634361839, 21.07842052, 14.564446369, 24.122061013, 14.196000019, 23.515985965, 22.657819031, 27.16376996, 22.015834092, 20.259933471, 19.121130943, 18.588543534, 28.664018868, 20.510973929, 17.592337132, 26.270359992, 21.33424878, 15.912051975, 20.485403001, 17.508829975, 21.213209032, 13.058889746, 48.823732853, 29.644752025, 20.204222917, 23.995025872, 19.309456944, 15.367362499, 18.317762135, 19.810664892, 22.592980146,
9, 24.119030951, 19.974179028, 18.589971065, 19.155780076, 16.74796319, 17.94956994, 16.771445035, 19.087323188, 20.948873996, 14.508232117, 11.832164287, 16.721122026, 14.270241022, 12.106171488, 16.557746172, 20.609665314, 18.708590984, 19.061266899, 17.714390039, 14.242857932, 17.004875182, 16.340501626, 16.816869496, 18.28968215, 15.181066036, 18.544995068, 32.606310843, 26.097383975, 16.449800015, 18.658205032, 18.092857123, 18.277351855, 17.6121099, 16.131953, 12.429210186, 16.678812026, 18.317011832, 18.06724, 29.715767145, 15.966417074, 17.996098995, 18.832293988, 13.060036778, 16.620839476, 13.972974419,
11, 19.376549958, 21.135308663, 11.919733047, 20.291805028, 11.428456163, 22.616877078, 12.995321353, 16.62852478, 20.842720031, 16.271966934, 12.296498394, 22.806238889, 19.438343683, 21.82401204, 24.769119023, 18.946465015, 19.582213521, 16.067157984, 18.433943033, 16.333604096, 19.943135023, 18.195740938, 18.261459112, 15.822513938, 15.323105096, 19.64134407, 16.880892037, 15.056555033, 18.022448061, 20.836766957, 12.56832695, 23.367293119, 17.657087088, 20.152177095, 15.661856174, 22.42992997, 20.194628001, 20.017940043, 16.091500997, 21.148442982, 29.741080808, 21.343765496, 16.015398979, 16.04662013, 19.156316042,
12, 18.511463881, 22.199465035, 28.120068072, 18.097846507, 23.166894913, 18.772291897, 21.573575019, 19.275530517, 19.009933948, 16.475880305, 16.126343488, 18.70277214, 14.085952679, 21.898540019, 23.599328994, 19.604053656, 21.1956923, 13.762993971, 18.924808979, 16.781326889, 15.141744971, 19.916137933, 23.882177471, 13.019537448, 16.174014092, 19.902430058, 11.396891673, 17.306164026, 26.008282184, 11.140492582, 12.176740526, 25.719301939, 25.832218527, 16.879500866, 20.472465037, 14.882638096, 19.386222123, 13.388404965, 20.102424026, 19.950904131, 14.98071599, 9.172206973, 16.311316012, 24.282025814, 14.183596014,
13, 19.139637947, 21.507452011, 18.244883537, 26.71620488, 22.211643935, 24.259509087, 27.703493119, 29.865075826, 24.843466997, 17.825265885, 20.313178539, 15.938377499, 19.016695023, 17.290779113, 18.012609958, 19.100538968, 18.321867525, 15.935662508, 21.779983996, 18.905532122, 20.225916862, 18.356426953, 18.510861158, 19.076436996, 16.904006003, 20.56866002, 17.14363408, 14.534970044, 16.64429593, 18.510468006, 17.282968807, 24.896040081, 16.691662073, 18.668047189, 19.355283975, 18.258759976, 31.050086021, 25.623891114, 18.699432849, 17.344552039, 22.808516024, 19.011481046, 17.865680933, 17.001718044, 19.932677984,
14, 19.806411981, 29.139843939, 16.887045144, 18.380482912, 17.451670884, 20.347329855, 17.272081136, 16.677411734, 18.941022873, 15.937774992, 22.949630976, 26.047662973, 13.446982144, 18.577877044, 18.29690504, 12.787839968, 20.656173943, 13.462660551, 17.470607995, 16.098903894, 13.969931483, 17.572894095, 20.141570806, 18.461771965, 14.74091506, 19.47421193, 10.616884183, 18.01343298, 16.58175993, 17.949409961, 21.94798994, 30.769366979, 28.410792112, 22.012798786, 15.216566562, 22.636497974, 23.869383097, 17.540941476, 24.096074104, 17.939367056, 17.691247225, 17.402688025, 17.510331869, 12.77059102, 13.203984737,
15, 20.738511979, 18.558963894, 18.747685193, 20.662895997, 17.202896118, 18.957587003, 21.386543034, 20.791280985, 30.865519045, 17.278271197, 23.145876883, 18.638627052, 14.654184103, 16.491209984, 17.074703216, 18.526924133, 21.580529212, 16.460292815, 16.85184002, 15.995189905, 20.250643968, 24.383959054, 17.61890006, 17.987804888, 13.949528931, 18.366693974, 12.500749985, 15.824980021, 22.303187132, 13.630452991, 20.236350059, 15.843693971, 15.579424143, 14.98157692, 17.559577942, 14.892707109, 29.718077182, 16.085101128, 17.654906034, 14.455594062, 18.279700993, 17.393172025, 15.471027851, 12.381492495, 16.546760797,
16, 16.919971799, 18.282191991, 14.650343179, 17.746907949, 16.205285071, 17.527315497, 17.287647962, 16.01356399, 17.645598332, 11.97815299, 28.205747126, 11.489279222, 16.610607146, 12.285952448, 13.338994407, 13.219039916, 18.999721051, 14.454009056, 15.924396992, 9.550264358, 15.960261107, 12.879033088, 15.942749023, 17.150439977, 12.965806961, 21.104470968, 15.727430104, 13.62481594, 10.403287013, 11.592748999, 17.507743834, 11.044353437, 12.136264181, 16.097522974, 16.61392498, 15.388880013, 15.468777895, 9.438765049, 13.357568343, 14.316986083, 23.208042025, 19.807751893, 13.861721991, 15.815227031, 12.751363675,
