Total time from the robot's command request to the user's confirmation, for commands positively confirmed within four attempts.
participant_id, robot_01, robot_02, robot_03, robot_04, robot_05, robot_06, robot_07, robot_08, robot_09, robot_10, robot_11, robot_12, robot_13, robot_14, robot_15, monitor_01, monitor_02, monitor_03, monitor_04, monitor_05, monitor_06, monitor_07, monitor_08, monitor_09, monitor_10, monitor_11, monitor_12, monitor_13, monitor_14, monitor_15, oculus_01, oculus_02, oculus_03, oculus_04, oculus_05, oculus_06, oculus_07, oculus_08, oculus_09, oculus_10, oculus_11, oculus_12, oculus_13, oculus_14, oculus_15,
5, 18.764251947, 19.077888965, 18.08376503, 19.728425979, 19.097964048, 18.843626022, 20.623255015, 17.006278038, 29.241592884, 29.075433016, 32.229055166, 17.934972048, 18.525722027, 18.133596182, 19.109325171, , 19.173985005, 42.681286812, 16.587915897, 16.592669964, 17.822577953, 33.091001988, 19.898095846, 18.09086895, 16.684855938, 19.86753583, 17.222275019, 15.998019934, 17.341212034, 17.321943045, 18.422140121, 31.36007309, 51.214694023, 18.997019053, 17.828576088, 21.742815972, 25.361524105, 29.874312878, 31.466605902, 18.750533103, 20.57030487, 17.674378157, 15.415520192, 17.742439032, 19.205909014,
7, 19.512423993, 24.130763054, 15.56650281, 18.20569706, 13.757863044, 17.183814049, 16.73071003, 27.027192116, 19.490702153, 48.58492589, 53.253504991, 20.470929861, 15.437623024, 16.523231029, 36.704835892, 25.551758051, 46.631170988, 18.039993048, 18.683017015, 34.103145122, 20.545058012, 17.404051065, 18.880518914, 21.679048061, 14.260999918, 18.436201095, 56.336233139, 16.090498924, 17.211165189, 16.88709712, 36.019971133, 20.79685092, 16.645937919, 17.474689007, 15.652981043, 28.434081078, 17.659102917, 16.774254083, 16.303924799, 14.253222942, 21.539823055, 34.668379068, 14.47069192, 18.965450049, 23.286762,
8, 95.413717032, 55.456237078, 39.486742019, , 40.59961319, , 28.248403072, 41.317475081, 26.889796973, , 21.821579933, 42.228286028, , 17.680304051, , 42.15684104, 43.693339109, 24.122061014, 42.588000059, 23.515985966, 22.657819032, 27.163769961, 22.015834093, 40.519866943, 19.121130943, 37.177087069, 28.664018869, 20.51097393, 17.592337132, 26.270359993, 21.334248781, 63.648207903, 81.941612005, , 42.426418066, 52.235558987, 48.823732853, 29.644752026, 40.408445836, 23.995025873, 38.618913889, 30.734724998, 18.317762136, 19.810664893, 22.592980147,
9, 24.119030952, 19.974179029, 18.589971065, 38.311560154, 16.74796319, 17.94956994, 16.771445036, 19.087323189, 20.948873997, 14.508232117, 35.496492863, 16.721122027, 14.270241022, 24.212342977, 16.557746172, 61.828995943, 18.708590984, 19.0612669, 17.714390039, 14.242857933, 17.004875183, 49.021504879, 33.633738994, 18.28968215, 15.181066036, 18.544995069, 32.606310844, 26.097383976, 16.449800015, 37.316410065, 18.092857123, 18.277351856, 17.6121099, 16.131953001, , 16.678812027, 18.317011833, 18.06724, 29.715767145, 15.966417074, 35.99219799, 18.832293988, 52.240147113, 66.483357907, 27.945948839,
11, 19.376549959, 63.405925989, 35.759199142, 60.875415087, , 22.616877079, 38.98596406, , 20.842720032, 16.271966934, , 22.80623889, 58.315031052, 21.824012041, 24.769119024, 18.946465015, 39.164427043, 48.201473952, 18.433943034, 16.333604097, 19.943135023, 18.195740938, 18.261459112, 31.645027876, 15.323105096, 19.641344071, 16.880892038, 15.056555033, 18.022448062, 20.836766958, , 23.36729312, 17.657087088, 20.152177096, 15.661856174, 22.429929971, 20.194628001, 20.017940044, 32.183001995, 21.148442983, , 42.687530994, 16.015398979, 16.04662013, 19.156316042,
12, 18.511463881, 22.199465036, 28.120068073, 36.195693016, 23.166894913, 18.772291898, 43.147150039, 77.102122069, 19.009933948, 49.427640915, 32.252686977, 18.70277214, 42.257858038, 21.89854002, 47.198657989, 58.812160969, 63.587076902, 41.288981915, 18.924808979, 33.56265378, 30.283489943, 19.916137934, 47.764354944, 26.039074897, 16.174014092, 19.902430058, 34.19067502, 17.306164026, 26.008282185, , 24.353481054, 25.719301939, 51.664437056, 16.879500866, 20.472465038, 29.765276194, 19.386222124, 26.776809931, 40.204848052, 19.950904131, 29.961431981, , 16.311316013, 24.282025814, 28.36719203,
13, 19.139637947, 43.014904022, 72.97953415, 26.716204881, 22.211643935, 24.259509087, 27.703493119, 29.865075826, 24.843466997, 17.825265885, 40.626357079, 31.876754999, 19.016695023, 17.290779114, 18.012609959, 19.100538969, 73.287470103, 31.871325016, 21.779983997, 18.905532122, 20.225916863, 18.356426954, 18.510861158, 19.076436997, 16.904006004, 20.568660021, 17.143634081, 14.534970045, 16.644295931, 18.510468006, , 49.792080164, 33.383324147, 18.66804719, 19.355283976, 18.258759976, 31.050086022, 25.623891115, 18.699432849, 17.34455204, 22.808516025, 19.011481046, 17.865680933, 17.001718044, 19.932677984,
14, 19.806411981, 29.13984394, 16.887045145, 18.380482912, 17.451670885, 20.347329855, 17.272081136, 66.70964694, 18.941022873, , 22.949630976, 26.047662973, 13.446982145, 18.577877044, 36.593810081, 38.363519907, 20.656173944, 26.925321102, 17.470607996, 16.098903895, 27.939862967, 17.572894096, 20.141570806, 18.461771965, 14.74091506, 19.474211931, , 18.01343298, 16.58175993, 35.898819923, 43.895979881, 30.769366979, 28.410792113, 22.012798786, 30.433133125, 22.636497974, 23.869383097, 35.081882953, 24.096074105, 17.939367056, 17.691247225, 17.402688026, 17.510331869, 25.541182042, 39.611954212,
15, 82.954047918, 37.117927789, 18.747685194, 61.988687992, 17.202896119, 18.957587003, 21.386543035, 41.58256197, 30.865519046, 17.278271198, 23.145876884, 18.638627052, 14.654184103, 16.491209984, 17.074703217, 18.526924133, 21.580529213, 16.460292816, 16.85184002, 15.995189905, 20.250643969, 24.383959054, 17.61890006, 17.987804889, 13.949528932, 18.366693974, 37.502249956, 15.824980021, 22.303187132, 27.260905982, 20.23635006, 15.843693971, 15.579424143, 14.98157692, 17.559577942, 14.89270711, 29.718077182, 16.085101128, 35.309812069, 14.455594063, 18.279700994, 17.393172026, 15.471027851, 24.762984992, 16.546760797,
16, , 18.282191991, 14.650343179, 35.493815898, 32.410570144, 35.054630995, 17.287647962, 32.027127981, 52.936794996, 35.934458971, 28.205747127, , 16.610607147, 24.571904897, , 26.438079834, 18.999721051, 14.454009056, 15.924396992, 28.650793075, 15.960261107, 25.758066177, 15.942749024, 17.150439977, 25.931613922, 21.104470968, 15.727430105, 13.624815941, 31.20986104, 23.185498, 17.507743835, , , 16.097522974, 16.61392498, 15.388880014, 15.468777895, 28.316295147, 40.072705031, 28.633972168, 46.416084051, 19.807751894, 13.861721992, 15.815227032, 38.254091025,
17, 22.609937191, 39.781373977, 18.635874987, 20.840574026, 23.317994833, 18.903311015, 18.412879944, 49.190151215, 43.978495836, , 22.570239067, , 17.797157049, 22.018752098, 20.336585045, 37.725941896, 70.262247086, 17.467755079, 34.718598127, 17.27167201, 20.862323999, 19.328161001, 16.666867971, 18.520771027, 19.128295899, 19.823292017, 102.32584095, 16.118891001, 18.668571949, 23.149050951, 18.369715929, 23.482033968, 18.53213191, 34.567163944, 17.519578934, 23.956310987, 41.654752016, 19.386397124, 18.737109184, 39.188644886, 21.436566829, 39.631820917, 17.557888031, 19.809017897, 32.202964067,
18, 20.42850995, 24.317805052, 21.059708834, 19.372885943, 17.88654685, 17.98904109, 23.26530385, 42.188087941, 59.390450955, 26.561392069, 21.923045158, 55.237704038, 16.671998024, 20.625525952, 21.928582907, 18.584295988, 33.889334917, 19.512311935, 18.135856867, 16.488610983, 22.475981236, 18.954780817, 18.829428911, 45.08782196, 19.448247909, 17.46184802, 20.797960043, 16.391902924, 33.554600955, 20.830845118, 36.182718992, 28.171617031, 22.385063887, 19.543998957, 35.729403019, 21.443035841, 27.88407898, 21.264111996, 21.236615896, 18.076877117, 19.659650802, 18.757873058, 16.827002049, 46.315699816, 19.087762117,
19, 19.10818696, 23.372218132, 28.478253126, 18.712540865, 14.427700997, 17.034579038, 17.927680016, 35.419075012, 17.196974993, 24.188978195, 17.442310095, 18.019423008, 43.556682825, 15.854743957, 19.10631609, , 20.199551106, 63.110444069, 25.579178094, 33.340336084, 25.033532143, 17.07111001, 25.994405985, 40.183315992, 31.188720941, 34.508949041, 15.118973017, 14.02504611, 15.650828839, 32.60303402, 37.047888994, 22.448269844, 15.009063006, 17.278223037, 25.100257159, 24.924738884, 33.632714987, 43.523218155, 25.438380956, 14.050686836, 34.192128897, 29.864214182, , 34.361338139, 41.05253315,
20, 44.558676004, 35.896155119, 25.746064186, , 25.867474079, 22.84236908, 22.453120947, 36.419847965, 22.339762926, 16.838276148, 24.694773197, 20.282618999, , 34.165285111, 18.009392023, 44.788174868, 40.892246008, 33.602678061, 20.394041061, 27.219213009, 18.21064496, 20.527158022, 14.836160898, 17.982369185, 16.163840055, 30.851046085, 18.180317878, 27.830138922, 28.208681107, 19.664359092, , 35.013533831, , , 47.315279007, 31.137378931, 24.817563057, 16.884664058, 22.127935171, 22.741621971, 22.489586115, , 45.641577005, 21.626613855, 21.748846054,
