Number of iterations per step. If 4 or fewer, we know it was positively confirmed.
participant_id, robot_01, robot_02, robot_03, robot_04, robot_05, robot_06, robot_07, robot_08, robot_09, robot_10, robot_11, robot_12, robot_13, robot_14, robot_15, monitor_01, monitor_02, monitor_03, monitor_04, monitor_05, monitor_06, monitor_07, monitor_08, monitor_09, monitor_10, monitor_11, monitor_12, monitor_13, monitor_14, monitor_15, oculus_01, oculus_02, oculus_03, oculus_04, oculus_05, oculus_06, oculus_07, oculus_08, oculus_09, oculus_10, oculus_11, oculus_12, oculus_13, oculus_14, oculus_15,
5, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1,
7, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1,
8, 4, 3, 2, 5, 2, 5, 1, 1, 1, 5, 1, 2, 5, 1, 5, 2, 3, 1, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 4, 4, 5, 2, 4, 1, 1, 2, 1, 2, 2, 1, 1, 1,
9, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 2, 1, 4, 4, 2,
11, 1, 3, 3, 3, 5, 1, 3, 5, 1, 1, 5, 1, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 2, 1, 1, 1,
12, 1, 1, 1, 2, 1, 1, 2, 4, 1, 3, 2, 1, 3, 1, 2, 3, 3, 3, 1, 2, 2, 1, 2, 2, 1, 1, 3, 1, 1, 5, 2, 1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 5, 1, 1, 2,
13, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
14, 1, 1, 1, 1, 1, 1, 1, 4, 1, 5, 1, 1, 1, 1, 2, 3, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 5, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 3,
15, 4, 2, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1,
16, 5, 1, 1, 2, 2, 2, 1, 2, 3, 3, 1, 5, 1, 2, 5, 2, 1, 1, 1, 3, 1, 2, 1, 1, 2, 1, 1, 1, 3, 2, 1, 5, 5, 1, 1, 1, 1, 3, 3, 2, 2, 1, 1, 1, 3,
17, 1, 2, 1, 1, 1, 1, 1, 3, 3, 5, 1, 5, 1, 1, 1, 1, 4, 1, 2, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2,
18, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1,
19, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 1, 1, 5, 1, 4, 2, 2, 1, 1, 1, 2, 3, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 3, 5, 3, 4,
20, 2, 1, 1, 5, 1, 1, 1, 2, 1, 1, 1, 1, 5, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 5, 2, 5, 5, 4, 2, 1, 1, 1, 1, 1, 5, 3, 1, 1,
21, 2, 2, 1, 2, 1, 1, 5, 4, 1, 4, 1, 2, 5, 2, 1, 2, 2, 4, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 3, 2, 1, 1, 2, 2, 1,
22, 5, 4, 1, 5, 5, 2, 5, 4, 1, 1, 2, 4, 1, 1, 5, 2, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 4, 1, 1, 5, 2, 5, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
23, 1, 1, 1, 3, 1, 2, 1, 3, 1, 5, 2, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 3, 1, 2, 1, 1, 2, 1, 2, 1,
24, 1, 1, 1, 2, 3, 1, 1, 3, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1,
25, 4, 3, 2, 3, 3, 1, 1, 5, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1,
26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 2, 1, 3, 2, 1, 1, 1, 2, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1,
