Number of words uttered during each step
participant_id, robot_01, robot_02, robot_03, robot_04, robot_05, robot_06, robot_07, robot_08, robot_09, robot_10, robot_11, robot_12, robot_13, robot_14, robot_15, monitor_01, monitor_02, monitor_03, monitor_04, monitor_05, monitor_06, monitor_07, monitor_08, monitor_09, monitor_10, monitor_11, monitor_12, monitor_13, monitor_14, monitor_15, oculus_01, oculus_02, oculus_03, oculus_04, oculus_05, oculus_06, oculus_07, oculus_08, oculus_09, oculus_10, oculus_11, oculus_12, oculus_13, oculus_14, oculus_15,
5, 6, 9, 6, 12, 6, 11, 12, 7, 14, 26, 22, 12, 10, 4, 11, 6, 9, 18, 11, 7, 11, 6, 7, 7, 9, 6, 11, 10, 4, 12, 5, 15, 18, 11, 7, 11, 6, 10, 14, 9, 9, 11, 6, 4, 12,
7, 5, 9, 4, 7, 4, 6, 5, 12, 6, 6, 18, 7, 5, 3, 15, 7, 14, 5, 6, 7, 6, 5, 6, 6, 5, 4, 18, 5, 3, 7, 5, 5, 4, 6, 4, 10, 5, 3, 2, 6, 5, 14, 5, 3, 7,
8, 19, 30, 16, 59, 17, 45, 8, 13, 9, 45, 9, 20, 26, 5, 32, 10, 28, 9, 22, 5, 9, 7, 10, 14, 10, 14, 7, 9, 3, 8, 4, 31, 18, 7, 19, 31, 7, 11, 25, 10, 17, 19, 5, 7, 11,
9, 12, 11, 9, 21, 6, 9, 5, 7, 6, 11, 16, 10, 5, 9, 9, 5, 8, 2, 3, 3, 4, 12, 6, 3, 6, 2, 5, 5, 2, 14, 3, 4, 2, 4, 13, 4, 3, 2, 3, 6, 5, 4, 6, 7, 11,
11, 5, 33, 9, 33, 19, 10, 11, 24, 6, 11, 27, 10, 6, 8, 9, 6, 14, 11, 9, 6, 8, 5, 6, 12, 7, 8, 8, 5, 3, 9, 8, 8, 5, 8, 5, 9, 5, 6, 13, 8, 3, 8, 5, 3, 9,
12, 5, 12, 5, 16, 9, 15, 13, 19, 8, 32, 13, 9, 9, 8, 18, 6, 10, 11, 9, 9, 11, 5, 9, 12, 7, 4, 24, 5, 3, 38, 7, 4, 13, 7, 4, 14, 4, 12, 15, 9, 6, 25, 5, 8, 15,
13, 11, 29, 43, 13, 11, 18, 11, 9, 13, 11, 21, 21, 7, 7, 12, 6, 27, 13, 11, 5, 13, 7, 6, 9, 10, 7, 10, 6, 6, 11, 5, 17, 14, 13, 7, 9, 6, 9, 7, 4, 7, 12, 6, 4, 11,
14, 9, 9, 14, 7, 4, 10, 4, 18, 6, 93, 12, 12, 4, 10, 17, 14, 7, 10, 7, 3, 12, 3, 3, 3, 7, 6, 35, 8, 3, 16, 2, 5, 4, 4, 9, 8, 4, 6, 3, 7, 4, 8, 5, 6, 24,
15, 27, 17, 5, 23, 5, 10, 5, 13, 6, 8, 5, 8, 5, 3, 9, 4, 9, 5, 5, 6, 8, 5, 3, 3, 5, 5, 25, 5, 3, 18, 5, 3, 5, 3, 6, 3, 5, 3, 6, 4, 5, 8, 5, 6, 9,
16, 28, 7, 5, 8, 9, 12, 5, 8, 14, 20, 7, 26, 5, 5, 25, 5, 5, 2, 5, 7, 3, 6, 3, 3, 11, 4, 6, 5, 8, 9, 2, 23, 18, 5, 2, 5, 3, 6, 6, 14, 8, 6, 5, 3, 20,
17, 5, 29, 8, 7, 6, 8, 6, 13, 22, 42, 7, 29, 5, 4, 9, 8, 26, 5, 15, 6, 9, 5, 6, 6, 8, 5, 45, 7, 3, 9, 5, 8, 5, 16, 5, 3, 9, 3, 8, 7, 5, 13, 5, 3, 13,
18, 9, 8, 17, 11, 9, 5, 12, 20, 19, 23, 10, 39, 8, 11, 12, 7, 13, 6, 5, 7, 8, 7, 9, 18, 12, 6, 15, 8, 11, 10, 10, 8, 10, 5, 5, 9, 10, 9, 7, 5, 9, 10, 7, 16, 15,
19, 9, 8, 10, 8, 4, 8, 5, 10, 6, 17, 5, 9, 10, 3, 10, 8, 7, 9, 6, 2, 3, 4, 3, 6, 21, 6, 3, 4, 3, 13, 2, 5, 2, 5, 2, 3, 2, 1, 3, 4, 9, 10, 6, 11, 32,
20, 10, 15, 5, 32, 9, 12, 13, 13, 7, 8, 9, 11, 33, 16, 9, 4, 11, 8, 6, 4, 5, 4, 3, 3, 6, 11, 9, 15, 10, 9, 32, 12, 19, 15, 19, 12, 5, 3, 1, 6, 7, 33, 10, 7, 11,
