participant_id, baseline_P1, baseline_P2, monitor_P1, monitor_P2, oculus_P1, oculus_P2
5, 18.0383967989, 17.9636286018, 17.9537224049, 17.5501971724, 18.4524669046, 18.1217102526
7, 18.238453519, 17.7070740376, 17.4863861276, 17.480741341, 18.5797975297, 19.1193833112
8, 22.7497045546, 19.1122635216, 20.8695401383, 22.325246691, 23.2180366176, 19.0796453232
9, 18.7852368586, 14.297488999, 17.3969765658, 22.4713389866, 18.1288730141, 16.0964487312
11, 17.3507263035, 20.2268424058, 17.6909337756, 18.0876012316, 18.9289182419, 20.460636291
12, 20.5202950094, 18.882587464, 17.840248771, 17.1508521046, 18.8790820236, 15.7859721606
13, 23.2316633224, 18.1143280264, 18.7117233091, 17.480405616, 20.7870724124, 19.3240148062
14, 19.084107545, 19.8638116354, 16.536326976, 16.5271397968, 22.4439778086, 15.7157685752
15, 20.5190154445, 18.0009202476, 18.3605612986, 16.5252128206, 17.700700855, 16.0144308322
16, 16.425697876, 16.3861160698, 14.7045721529, 14.4905506048, 14.1370786789, 17.088821323
17, 18.4461542476, 18.8840499298, 20.1896649712, 18.9628225484, 19.7688558454, 18.9441730496
18, 19.8491358553, 19.9123440104, 17.3165465468, 18.451971316, 21.5961460706, 19.4980275866
19, 17.1823034166, 16.9883374846, 18.5171764234, 15.670167899, 21.8167888278, 12.1265409958
20, 22.7938320226, 18.3801618382, 19.4974976652, 16.257922005, 16.9490799755, 18.8168002822
21, 20.3655136902, 19.2000908702, 18.2202379757, 19.0875699992, 18.4849804436, 17.610348319
22, 16.7669167216, 17.4555727042, 18.121311942, 15.371946072, 21.8265047346, 34.3140784262
23, 18.2044254013, 17.0747831098, 19.9355240577, 16.3454084156, 18.5194856997, 18.4972496508
24, 18.3250320756, 20.687709426, 18.6532677171, 16.8618391986, 20.3851796384, 19.667650223
25, 23.4597833559, 20.7278975956, 18.6264598245, 22.9900471686, 20.2928510303, 19.2232967852
