participant_id, baseline_P1, baseline_P2, monitor_P1, monitor_P2, oculus_P1, oculus_P2
5, 10.0, 5.0, 9.0, 5.0, 10.0, 5.0
7, 10.0, 5.0, 10.0, 5.0, 10.0, 5.0
8, 5.0, 3.0, 10.0, 3.0, 8.0, 4.0
9, 10.0, 5.0, 7.0, 2.0, 1.0, 2.0
11, 8.0, 4.0, 10.0, 5.0, 9.0, 4.0
12, 10.0, 5.0, 7.0, 4.0, 8.0, 4.0
13, 10.0, 5.0, 10.0, 5.0, 8.0, 5.0
14, 7.0, 3.0, 8.0, 4.0, 5.0, 5.0
15, 9.0, 5.0, 9.0, 5.0, 6.0, 5.0
16, 9.0, 2.0, 8.0, 5.0, 6.0, 5.0
17, 9.0, 4.0, 10.0, 5.0, 8.0, 5.0
18, 7.0, 5.0, 5.0, 5.0, 7.0, 5.0
19, 8.0, 5.0, 5.0, 4.0, 1.0, 4.0
20, 9.0, 4.0, 9.0, 5.0, 5.0, 3.0
21, 9.0, 4.0, 9.0, 5.0, 10.0, 4.0
22, 6.0, 4.0, 8.0, 4.0, 8.0, 5.0
23, 9.0, 5.0, 7.0, 5.0, 7.0, 5.0
24, 8.0, 5.0, 9.0, 5.0, 6.0, 5.0
25, 5.0, 5.0, 6.0, 5.0, 4.0, 4.0
26, 10.0, 5.0, 8.0, 5.0, 5.0, 4.0
