participant_id, baseline_P1, baseline_P2, monitor_P1, monitor_P2, oculus_P1, oculus_P2
5, 1.2, 1.2, 1.2, 1.0, 1.5, 1.0
7, 1.2, 1.6, 1.4, 1.4, 1.1, 1.2
8, 2.9, 2.8, 1.6, 1.2, 2.5, 1.4
9, 1.1, 1.6, 1.5, 1.2, 1.4, 2.6
11, 2.6, 2.2, 1.4, 1.0, 1.1, 2.0
12, 1.7, 1.8, 2.0, 2.2, 1.5, 2.2
13, 1.4, 1.4, 1.4, 1.0, 1.6, 1.0
14, 1.7, 1.2, 1.4, 2.0, 1.3, 1.6
15, 1.7, 1.0, 1.0, 1.6, 1.1, 1.2
16, 2.2, 2.8, 1.5, 1.6, 2.3, 1.6
17, 1.9, 1.8, 1.4, 2.0, 1.3, 1.4
18, 1.4, 1.4, 1.4, 1.2, 1.2, 1.2
19, 1.3, 1.4, 2.2, 1.4, 1.2, 3.4
20, 1.6, 2.0, 1.3, 1.6, 2.7, 2.2
21, 2.3, 2.2, 1.8, 1.0, 1.7, 1.4
22, 3.3, 2.6, 1.5, 1.8, 2.3, 1.0
23, 1.9, 1.4, 1.4, 1.2, 1.6, 1.4
24, 1.9, 1.0, 1.1, 1.4, 1.2, 1.0
25, 2.5, 1.0, 1.5, 1.0, 1.1, 1.0
