participant_id, baseline_P1, baseline_P2, monitor_P1, monitor_P2, oculus_P1, oculus_P2
5, 10.9, 11.8, 9.1, 8.6, 10.6, 8.4
7, 6.4, 9.6, 6.7, 7.4, 5.0, 6.8
8, 26.1, 18.4, 12.4, 8.2, 16.3, 11.8
9, 9.7, 9.8, 5.2, 5.6, 4.4, 6.6
11, 16.1, 12.0, 8.4, 6.6, 7.5, 5.6
12, 13.4, 11.4, 8.9, 14.8, 8.9, 11.8
13, 16.9, 13.6, 10.7, 8.0, 9.1, 8.0
14, 17.4, 11.0, 6.9, 13.6, 5.2, 9.4
15, 11.9, 6.0, 5.3, 11.2, 4.3, 6.6
16, 11.6, 13.6, 5.0, 6.4, 8.4, 8.4
17, 14.6, 10.8, 9.4, 13.8, 6.9, 7.8
18, 13.3, 16.0, 9.2, 10.0, 7.8, 11.4
19, 8.5, 7.4, 6.9, 5.8, 2.9, 13.6
20, 12.4, 15.6, 5.4, 10.8, 12.4, 13.6
21, 25.3, 22.2, 15.1, 7.2, 10.5, 9.6
22, 18.2, 19.4, 8.2, 11.2, 15.6, 8.2
23, 12.6, 9.2, 5.6, 7.6, 6.4, 6.6
24, 14.5, 8.8, 8.9, 10.2, 7.6, 8.2
25, 15.9, 8.8, 6.2, 7.0, 5.4, 5.6
26, 17.3, 12.6, 13.8, 9.4, 6.8, 10.4
