participant_id, baseline_P1, baseline_P2, monitor_P1, monitor_P2, oculus_P1, oculus_P2
5, 1.0, 1.0, 3.0, 1.0, 6.0, 0.0
7, 4.0, 1.0, 4.0, 3.0, 6.0, 3.0
8, 0.0, 1.0, 6.0, 2.0, 1.0, 0.0
9, 0.0, 1.0, 3.0, 0.0, 6.0, 1.0
11, 0.0, 0.0, 4.0, 1.0, 6.0, 0.0
12, 0.0, 0.0, 1.0, 0.0, 6.0, 0.0
13, 2.0, 1.0, 6.0, 2.0, 0.0, 0.0
14, 0.0, 0.0, 5.0, 1.0, 6.0, 0.0
15, 0.0, 0.0, 6.0, 0.0, 6.0, 1.0
16, 3.0, 0.0, 1.0, 0.0, 5.0, 0.0
17, 0.0, 0.0, 2.0, 0.0, 6.0, 2.0
18, 2.0, 2.0, 5.0, 1.0, 6.0, 1.0
19, 3.0, 0.0, 0.0, 0.0, 4.0, 0.0
20, 0.0, 0.0, 4.0, 0.0, 5.0, 0.0
21, 0.0, 0.0, 1.0, 0.0, 6.0, 0.0
22, 0.0, 0.0, 1.0, 0.0, 5.0, 0.0
23, 0.0, 0.0, 4.0, 0.0, 6.0, 1.0
24, 0.0, 0.0, 4.0, 0.0, 6.0, 0.0
25, 1.0, 1.0, 3.0, 0.0, 6.0, 3.0
26, 0.0, 0.0, 5.0, 2.0, 6.0, 3.0
